"Zipcode","Borough","Household_Income_Change","White_Income_Change","WhiteAlone_Income_Change","Black_Income_Change","Asian_Income_Change","Hispanic_Income_Change"
10001,"Manhattan",25,27.4,28.1,-31.9,42.8,-14.6
10002,"Manhattan",22.3,25.4,19.6,45.4,11.3,31.8
10003,"Manhattan",46.4,42.5,47.1,-0.4,87.9,-45
10004,"Manhattan",65.6,61.7,62.6,NA,139.2,NA
10005,"Manhattan",23.1,8.3,8.5,NA,82.2,28.5
10006,"Manhattan",40.2,20.2,20.9,NA,NA,98.7
10007,"Manhattan",3,9.1,8.9,NA,0,NA
10009,"Manhattan",37.7,35.5,21.9,82.2,43.4,63.1
10010,"Manhattan",30.6,40.7,41.3,NA,50,98.3
10011,"Manhattan",18.4,27.9,28.6,31.4,-17.4,47.6
10012,"Manhattan",21.4,16.6,17.8,-43.4,100,-34.3
10013,"Manhattan",42.1,-6.59999999999999,-13.9,NA,96.3,54
10014,"Manhattan",15.1,10.3,11.1,112.9,-12.4,57.2
10016,"Manhattan",33.5,54.3,45.5,NA,8.3,155.9
10017,"Manhattan",18.1,4.29999999999999,10.7,64.5,44.2,-30.6
10018,"Manhattan",38.3,29.5,19.3,NA,79.7,-23.7
10019,"Manhattan",14.4,13.4,15.9,7.00000000000001,82.5,0.499999999999989
10021,"Manhattan",20.7,19,19.2,NA,29.1,15.3
10022,"Manhattan",21,22.8,23.6,NA,-2.8,86.1
10023,"Manhattan",22.2,20.7,15.8,22.6,73.9,25.2
10024,"Manhattan",32.4,28.6,25,71.5,145.1,95.3
10025,"Manhattan",29.8,33.8,28.3,32.6,12.1,56.5
10026,"Manhattan",26.6,45,44.2,38.7,NA,39.4
10027,"Manhattan",38.6,33.7,33.8,15,32,23.1
10028,"Manhattan",34.4,33,33.2,NA,58.3,55.2
10029,"Manhattan",4.8,41.6,22.5,-3.2,17.9,3.49999999999999
10030,"Manhattan",32.2,-30.6,-28.3,66.5,NA,-2.7
10031,"Manhattan",47.2,60.9,43.1,66.3,-4.2,39.3
10032,"Manhattan",35.5,37.8,1.09999999999999,44.4,5.09999999999999,52.3
10033,"Manhattan",45.6,50.1,29.5,40.7,87.6,46.7
10034,"Manhattan",27.9,46.4,23.9,1.89999999999999,-15,38.4
10035,"Manhattan",32.4,94.2,59.1,-3.5,-7.8,50.7
10036,"Manhattan",9.20000000000001,7.20000000000001,4.8,81.5,19.5,17.8
10037,"Manhattan",25.5,7.80000000000001,21.1,17.6,NA,79.1
10038,"Manhattan",17.2,21.8,25,NA,75.9,68.8
10039,"Manhattan",51.8,77.3,48,74.5,75.2,31
10040,"Manhattan",25.3,41.3,18,18.8,96.3,21.1
10044,"Manhattan",30.4,18.9,14.1,101.1,55.3,-30.1
10065,"Manhattan",27.3,31.3,27.1,NA,43.1,36
10069,"Manhattan",44.2,42.8,36.3,NA,80.7,NA
10075,"Manhattan",8.60000000000001,0.2,-2.1,NA,127.3,-19.3
10128,"Manhattan",22.6,22.6,18.8,8.40000000000001,42.8,14.8
10162,"Manhattan",-42.3,-42.1,-41.9,NA,NA,NA
10280,"Manhattan",27.7,27.4,28.1,NA,5.6,74.9
10282,"Manhattan",0,0,0,NA,8.3,NA
10301,"Staten Island",52,50.9,36.1,61.8,7.1,44.6
10302,"Staten Island",24,28.7,31.5,53.3,-38.9,35.1
10303,"Staten Island",31.2,27.3,41.5,61,15.2,30.1
10304,"Staten Island",27.3,33.3,19.5,33,0.69999999999999,32.6
10305,"Staten Island",11.5,5.89999999999999,4.69999999999999,25,23.2,40.8
10306,"Staten Island",18.4,17.6,15.1,-13.6,7.40000000000001,58.5
10307,"Staten Island",53.3,50.3,54.4,NA,55.8,66.9
10308,"Staten Island",33.4,37.2,39.7,NA,4.8,35.7
10309,"Staten Island",9.7,12.6,13.8,NA,15.4,-21.5
10310,"Staten Island",51.1,45.8,42.7,56.6,47.7,84.1
10312,"Staten Island",18.3,18,16.7,NA,7.5,49.2
10314,"Staten Island",27.8,30,32.2,94.7,12.7,6.2
10451,"Bronx",27.2,-8.9,NA,24.3,NA,22.2
10452,"Bronx",34.3,10.5,-34.9,31.1,NA,38.9
10453,"Bronx",42.5,33.1,NA,14.5,-29.2,61.5
10454,"Bronx",22.6,33.9,-20.8,26.1,NA,28.6
10455,"Bronx",40.5,53.3,283.6,43.3,NA,43.9
10456,"Bronx",24.7,64.2,215.7,23,-9.3,19.5
10457,"Bronx",52.2,36.6,NA,49.6,NA,58.7
10458,"Bronx",29.3,33.8,18,9.7,83.1,32.6
10459,"Bronx",60.2,52.2,202.7,35.3,NA,62.2
10460,"Bronx",27.5,3,113.2,27.6,51.2,22.7
10461,"Bronx",15.4,13.1,21.1,19.3,52.5,7.00000000000001
10462,"Bronx",27,40.6,52,3.6,69.9,38.9
10463,"Bronx",13.4,9.9,16.7,45.1,2.49999999999999,-2.9
10464,"Bronx",47,43.4,47.9,NA,NA,NA
10465,"Bronx",16,3.09999999999999,10,147.6,3.89999999999999,9.60000000000001
10466,"Bronx",22,16.1,-1.8,26.8,33,41.2
10467,"Bronx",30.7,30.9,10.6,30.2,85.5,30.9
10468,"Bronx",24.3,26.9,57.5,2.8,-9.5,32.4
10469,"Bronx",25.6,37.4,38.6,33.3,31.6,4.6
10470,"Bronx",33.7,39.5,35.6,26.8,NA,93.7
10471,"Bronx",37.7,26.4,34.6,76.5,4.69999999999999,35.6
10472,"Bronx",30.8,127.5,11.9,42,74.4,17.7
10473,"Bronx",32,32.4,183,25.1,167.9,33.4
10474,"Bronx",57.5,NA,NA,14.9,NA,79.9
10475,"Bronx",17,2.49999999999999,NA,10.3,NA,24.4
11004,"Queens",20.4,26.2,26.2,NA,-0.6,13.9
11101,"Queens",89.4,78.9,49.9,37.4,39,76.1
11102,"Queens",71.1,71.9,63.2,-28.6,75.6,25
11103,"Queens",35.1,30.6,28.5,12.6,59.4,39.7
11104,"Queens",32.3,38.9,32.4,36.7,40,43.3
11105,"Queens",42.9,43.6,43.7,-1.6,78.3,28.6
11106,"Queens",34.6,28.1,35,15.1,49.5,37.4
11109,"Queens",26.5,11.4,23,NA,49.1,-24.1
11201,"Brooklyn",40.2,32.6,30.9,22.8,53.4,17.8
11203,"Brooklyn",41.3,25.8,19.2,42.1,71.6,17.6
11204,"Brooklyn",35.6,34.8,33.3,4.2,44.5,27.3
11205,"Brooklyn",45.1,66.9,48.7,24.2,28.7,121
11206,"Brooklyn",50.9,65.4,28.1,43.9,10.2,62.8
11207,"Brooklyn",46.8,71.4,63.9,39.7,35,41.6
11208,"Brooklyn",42.2,49.3,29.1,45.6,8.80000000000001,38.1
11209,"Brooklyn",27.3,29.3,31.1,38.9,23.3,21
11210,"Brooklyn",33.3,32.2,26.9,26.8,64.9,44.7
11211,"Brooklyn",43.4,61.4,50.8,66.6,94.6,24.9
11212,"Brooklyn",39.6,74.1,133.3,39.5,NA,58.1
11213,"Brooklyn",33.5,17.9,22.1,31.1,130.7,52.9
11214,"Brooklyn",13.2,12.7,11.4,-18.6,21.8,9.20000000000001
11215,"Brooklyn",48.8,48.4,46.5,47.9,68.8,54.6
11216,"Brooklyn",65.4,50.6,44,36.3,49.5,58.8
11217,"Brooklyn",54.1,52.1,48.2,25.1,44.4,15
11218,"Brooklyn",36.8,31.2,31.9,26.6,61.4,66.4
11219,"Brooklyn",35.9,35.8,43.5,17.5,51.6,37.9
11220,"Brooklyn",47.6,37.1,32,-0.900000000000001,69.1,34.6
11221,"Brooklyn",64.5,78.5,29.6,54.3,41.5,62.1
11222,"Brooklyn",61.3,62.8,55.3,149.4,113.7,62.1
11223,"Brooklyn",32.5,40.3,40.2,15.4,49.6,21.4
11224,"Brooklyn",27.9,18.5,20.2,-0.2,191.1,61.1
11225,"Brooklyn",59.3,60.4,51.7,39.3,171.4,47.2
11226,"Brooklyn",56.6,55.6,40.9,46.8,78.3,63.5
11228,"Brooklyn",31.8,37.8,38.2,-67.3,10.5,65.8
11229,"Brooklyn",22.8,25.6,27.6,59.8,16.2,11
11230,"Brooklyn",41.4,40.8,36.4,16.8,45.3,70.5
11231,"Brooklyn",39.3,36.4,26,25.2,26,23.9
11232,"Brooklyn",47.7,61.2,47.1,138.4,37.7,34.9
11233,"Brooklyn",60.5,64.5,39.1,53,21.2,36.9
11234,"Brooklyn",15,26,30.1,11.3,-4.4,17.8
11235,"Brooklyn",23.5,22.6,19.4,-3.1,37.7,77.4
11236,"Brooklyn",25.4,30.1,35.6,25.1,55.5,-8.2
11237,"Brooklyn",54.4,56.7,25.6,53,64.2,43.4
11238,"Brooklyn",59.1,44.6,45.2,14.6,55.5,14.8
11239,"Brooklyn",48.7,16.9,22.6,29.4,NA,69.4
11354,"Queens",27.7,50.7,49.4,-31.6,23.6,40.9
11355,"Queens",37.2,-15.1,-19.5,88.1,45.2,33.3
11356,"Queens",45.2,47.1,41,NA,52.3,52.1
11357,"Queens",18.4,30.7,37.2,NA,-2.6,-17.1
11358,"Queens",27.4,17.9,19.1,18.2,37.8,19.2
11360,"Queens",18.4,15,20.5,81.3,31.2,-33.8
11361,"Queens",24.8,20.3,20.3,19.5,33.4,3.6
11362,"Queens",40.7,39.5,49.1,NA,57.6,-26.4
11363,"Queens",15.2,26.2,27.3,NA,-0.700000000000001,-32.7
11364,"Queens",41.6,50.1,46.9,43.3,14,89.8
11365,"Queens",30.3,49.1,47.6,182.2,7.40000000000001,39.1
11366,"Queens",71.2,47.3,45.1,NA,77.5,26.5
11367,"Queens",30.5,36.8,39.5,18.8,32.9,5.69999999999999
11368,"Queens",45,36.9,12.4,8.5,35.4,49
11369,"Queens",35.4,4.49999999999999,70.6,24.5,6,42.4
11370,"Queens",19.6,23.5,14.6,161,26,12.8
11372,"Queens",35.4,31,39.6,12.7,35.6,23.2
11373,"Queens",37.5,44.4,44.3,NA,25.5,58.4
11374,"Queens",51.3,49.6,47.1,25.8,34.3,68.8
11375,"Queens",36,36.7,35,-4.7,35.7,33.3
11377,"Queens",31.4,29.8,25.5,-3.2,33.5,26.2
11378,"Queens",32.3,42.5,43.4,38.5,-3.9,31.7
11379,"Queens",12.5,20.2,22.1,-14.5,13.3,0.2
11385,"Queens",32,36.5,35.1,11.6,19.1,30.5
11411,"Queens",34.1,88,26.3,35.7,NA,17.7
11412,"Queens",27.6,-23.9,NA,31.3,3.49999999999999,-2.5
11413,"Queens",33.1,-10.5,26.7,34,48.5,11.4
11414,"Queens",31.3,27.1,27.3,NA,541.7,65
11415,"Queens",33.8,42.2,40.4,16.9,84.8,25.3
11416,"Queens",37.2,40.2,37.9,29.9,46,32.4
11417,"Queens",20.6,3.69999999999999,7.00000000000001,33.2,54.6,0.69999999999999
11418,"Queens",18.1,14.9,12.5,12.4,28.7,15.7
11419,"Queens",38.2,39.7,-3.3,47.9,38,24.6
11420,"Queens",47.9,50.2,73.5,66.6,26.5,50.9
11421,"Queens",17.8,42,32.8,28.1,20,8.80000000000001
11422,"Queens",16.6,-8.8,31.5,16.6,-33.1,-6.2
11423,"Queens",19.6,4.49999999999999,13.3,21.6,9.5,-16.9
11426,"Queens",34.7,39.5,28.2,163.9,31.4,14
11427,"Queens",16.2,49.4,45.3,37.6,3.69999999999999,12.3
11428,"Queens",25,3.69999999999999,7.20000000000001,25.6,56.3,16.8
11429,"Queens",19,29.2,9.9,18.4,28.2,39.2
11432,"Queens",35.9,49.5,44.6,41,37.3,18.9
11433,"Queens",49.8,45.9,NA,40.6,25,41.5
11434,"Queens",18.2,32.1,NA,19.4,12.5,31.5
11435,"Queens",29.2,26,25.8,12.2,48.7,46.8
11436,"Queens",26.6,79.6,209.6,30,18.7,8.5
11691,"Queens",39.4,54.4,45.9,19.7,NA,69.7
11692,"Queens",25.9,52.4,23.3,17.6,NA,31
11693,"Queens",26.6,33.5,22.6,41.8,228,118.7
11694,"Queens",29.2,29.1,27.4,-6.5,NA,40.8
11697,"Queens",34.8,42.7,51.9,NA,NA,NA
10279,"Manhattan",NA,NA,NA,NA,NA,NA
11249,"Brooklyn",NA,NA,NA,NA,NA,NA
